gene_id,MCF-7,MCF-7-ADR
ACSM5,0,0
ACSM6,0,0
ACSS1,5.090921998,1.57923245
ACSS2,7.923064152,2.302387239
ACSS3,10.74875861,1.571330023
ACTA1,0,0
ACTA2,5.743591825,1.11529119
ACTB,1806.418213,1236.159058
ACTBL2,0,0.403003
ACTC1,0,15.937992
ACTG1,494.6191643,364.6125247
ACTG2,0,0.088261
ACTL10,2.03817,1.1617
ACTL6A,24.28639825,33.50627733
ACTL6B,0.213739,0.038624
ACTL7A,0.118605,0
ACTL7B,0.042789,0
ACTL8,0.131066,0
ACTL9,0,0
ACTN1,34.32140485,255.2504538
ACTN2,0.476134,4.607470872
ACTN3,0,0.07233518
ACTN4,22.59966854,33.25803568
ACTR10,16.340265,27.621181
ACTR1A,32.390957,18.283077
ACTR1B,12.696145,15.947988
ACTR2,118.0275901,110.8031426
ACTR3,35.97753083,75.88670697
ACTR3B,7.588243253,7.420801032
ACTR3C,1.412730799,0.704159498
ACTR5,2.288687,4.727631
ACTR6,8.636298,16.030323
ACTR8,7.065159,9.844046
ACTRT1,0,0
ACTRT2,0,0
ACTRT3,0.963666,4.328957
ACVR1,7.644883239,8.239039338
ACVR1B,14.5379598,7.414076537
ACVR1C,0.120037645,0.155843698
ACVR2A,2.27466606,7.853011554
ACVR2B,3.092907,2.217492
ACVRL1,0.028341689,0.348631581
ACY1,5.771056,2.949568
ACY3,0,0
ACYP1,3.551265226,5.291871696
ACYP2,1.151143262,0.998013982
ADA,3.288527677,2.863759098
ADA2,0.511888209,0.170980207
ADAD1,0,0.182750692
ADAD2,0,0.029044
ADAL,2.278073388,4.125412829
ADAM10,11.68896363,14.35083691
ADAM11,0.234025,0.857042362
ADAM12,0.119850203,0.282502594
ADAM15,23.59054866,8.69273464
ADAM17,24.58462,29.210651
ADAM18,0,0
ADAM19,0,3.457676
ADAM2,0,0
ADAM20,0.319467,0.55747
ADAM21,0,0.447632
ADAM22,0.813555292,2.813046411
ADAM23,0.024253,0.710706
ADAM28,0.023478957,0
ADAM29,0,0
ADAM30,0,0.019316
ADAM32,1.748780929,0.568707525
ADAM33,0,0
ADAM7,0,0
ADAM8,0.575085,0.703826334
ADAM9,40.736408,90.324272
ADAMDEC1,0,0
ADAMTS1,0.469795,157.401749
ADAMTS10,0,1.461532129
ADAMTS12,0.006858576,3.219806256
ADAMTS13,0.250518,0.883252522
ADAMTS14,0.021249,0.098248
ADAMTS15,0.126127,0
ADAMTS16,0,1.014088
ADAMTS17,0,0.696777
ADAMTS18,0,0
ADAMTS19,3.937411,0.135744
ADAMTS2,0,0.159747965
ADAMTS20,0.124029,0.03233
ADAMTS3,0.019451,2.721632
ADAMTS4,0.006749,0.008878
ADAMTS5,0,11.922478
ADAMTS6,0.094974,29.579994
ADAMTS7,0.051849,0.873164
ADAMTS8,0,0.027835
ADAMTS9,1.658633,0.454685
ADAMTSL1,0,1.056005468
ADAMTSL2,0,0
ADAMTSL3,0.064980634,1.987305786
ADAMTSL4,1.534422552,10.4070344
ADAMTSL5,0.783622828,1.663489854
ADAP1,5.760309299,0.787441024
ADAP2,0.786365658,0.054562433
ADAR,79.35933948,46.67438568
ADARB1,4.889236527,7.553741657
ADARB2,0,0
ADAT1,18.32767855,4.975708296
ADAT2,1.697175995,3.705918882
ADAT3,1.119128577,0.417158
ADCK1,2.379248516,2.823259669
ADCK2,6.754014,5.696559
ADCK5,0.9126935,1.201746
ADCY1,1.098980895,2.755879231
ADCY10,0.06132,0.008236
ADCY2,0,0
ADCY3,12.18416233,4.866080824
ADCY4,0.027985,0.0144565
ADCY5,13.92928701,1.888475719
ADCY6,13.510503,5.34335
ADCY7,0.923395678,9.797366334
ADCY8,0,0.048451
ADCY9,19.902269,7.937541
ADCYAP1,0,0
ADCYAP1R1,0,0.038766849
ADD1,25.22976236,24.73048458
ADD2,0,14.01679051
ADD3,0.143866389,21.6458988
ADGB,0,0.006313
ADGRA1,0,0
ADGRA2,1.262156,1.500203
ADGRA3,6.479891,3.82753
ADGRB1,0.404635,0.410761
ADGRB2,0.474708253,0.639533492
ADGRB3,0,3.276605
ADGRD1,0.212686,0
ADGRE1,0.168920252,1.397370008
ADGRE2,1.164467,0.750641
ADGRE3,0,0.026957466
ADGRE5,5.872867255,11.72174498
ADGRF1,0.020027579,0.059419526
ADGRF2,0.030722674,0.05241
ADGRF3,0.066105981,0.11913517
